"cell_id","group"
"abageaca-1","PTS2"
"abagpijk-1","PTS2"
"abahlpad-1","PTS1"
"abahnhep-1","PTS2"
"abaiiknd-1","PTS2"
"abainkpc-1","PTS2"
"abajfkek-1","PTS2"
"abajmcbp-1","PTS2"
"abakanja-1","IntX"
"abakjnfc-1","PTS2"
"abakkhef-1","PTS2"
"abalcbjn-1","PTS2"
"abaldlep-1","PTS2"
"abalkkok-1","PTS2"
"abamjdlj-1","PTS2"
"abamnkcj-1","PTS2"
"abamolcc-1","PTS2"
"abanelnn-1","PTS2"
"abanemlk-1","PTS2"
"abangggd-1","PTS2"
"abanmbeg-1","PTS2"
"abanmepl-1","PTS2"
"abaokpkb-1","PTS2"
"abaomfhl-1","PTS2"
"abaphgog-1","PTS2"
"abapliad-1","PTS1"
"abapngnf-1","PTS1"
"abbachad-1","PTS1"
"abbbgjlp-1","PTS1"
"abbbhopf-1","PTS1"
"abbbjfnf-1","PTS2"
"abbcfnco-1","PTS2"
"abbeecpo-1","PTS1"
"abbefbmi-1","PTS1"
"abbefpgf-1","PTS1"
"abbejnjk-1","PTS1"
"abbfnlob-1","PTS1"
"abbfocog-1","PTS1"
"abbicbll-1","PTS1"
"abbimnmp-1","PTS1"
"abbjfndo-1","PTS1"
"abbjhpdb-1","PTS1"
"abbjkndh-1","PTS1"
"abbjlkcm-1","PTS2"
"abbjmgll-1","CNT"
"abbkmgkf-1","PTS2"
"abblekmh-1","PTS2"
"abblnijk-1","PTS2"
"abbloebj-1","PTS2"
"abblphfl-1","PTS2"
"abbmpkpn-1","PTS2"
"abbneegb-1","PTS2"
"abbniama-1","PTS2"
"abbnjkdp-1","PTS2"
"abboamko-1","PTS2"
"abbpjdjf-1","PTS2"
"abbpkinm-1","ICA"
"abbpokac-1","PTS1"
"abcafkjo-1","CNT"
"abcahjgg-1","CNT"
"abcahpka-1","CNT"
"abcaoalm-1","CNT"
"abcbfikb-1","CNT"
"abcbkdoh-1","CNT"
"abcbkepb-1","PTS2"
"abcbnlnp-1","PTS2"
"abccbipg-1","PTS2"
"abccmboi-1","PTS2"
"abccmicj-1","PTS2"
"abcdchmo-1","PTS2"
"abcdgcoj-1","PTS2"
"abcdhchi-1","PTS2"
"abcegkdj-1","PTS2"
"abcfebok-1","PTS2"
"abcfpgfp-1","PTS2"
"abcgbbbg-1","PTS2"
"abcgibpf-1","PTS2"
"abchfico-1","PTS2"
"abchnccn-1","PTS2"
"abcijekg-1","PTS2"
"abcinpga-1","PTS2"
"abciooaf-1","CNT"
"abckagdl-1","CNT"
"abckecgj-1","PTS2"
"abckgcdc-1","PTS1"
"abckgdoa-1","PTS2"
"abckignf-1","CNT"
"abcknjfm-1","CNT"
"abclemhi-1","CNT"
"abclenio-1","CNT"
"abclgldf-1","PTS2"
"abcmcgce-1","PTS2"
"abcnbkkb-1","PTS2"
"abcngfki-1","PTS2"
"abcobdko-1","ICA"
